number,alley,column,level,storage,buildings,X,Y
26959,"FB5","012","10","01","FLO",0,0
26960,"FB5","012","10","02","FLO",0,0
26961,"FB5","012","10","03","FLO",0,0
26962,"FB5","012","10","04","FLO",0,0
26963,"FB5","012","20","01","FLO",0,0
26964,"FB5","012","20","02","FLO",0,0
26965,"FB5","012","20","03","FLO",0,0
26966,"FB5","012","20","04","FLO",0,0
26967,"FB5","012","30","01","FLO",0,0
26968,"FB5","012","30","02","FLO",0,0
26969,"FB5","012","30","03","FLO",0,0
26970,"FB5","012","30","04","FLO",0,0
26971,"FB5","012","40","01","FLO",0,0
26972,"FB5","012","40","02","FLO",0,0
26973,"FB5","012","40","03","FLO",0,0
26974,"FB5","012","40","04","FLO",0,0
26975,"FB5","012","50","01","FLO",0,0
26976,"FB5","012","50","02","FLO",0,0
26977,"FB5","012","50","03","FLO",0,0
26978,"FB5","012","50","04","FLO",0,0
136486,"FB4","012","10","01","FLO",0,0
136487,"FB4","012","10","02","FLO",0,0
136488,"FB4","012","10","03","FLO",0,0
136489,"FB4","012","10","04","FLO",0,0
136490,"FB4","012","20","01","FLO",0,0
136491,"FB4","012","20","02","FLO",0,0
136492,"FB4","012","20","03","FLO",0,0
136493,"FB4","012","20","04","FLO",0,0
136494,"FB4","012","30","01","FLO",0,0
136495,"FB4","012","30","02","FLO",0,0
136496,"FB4","012","30","03","FLO",0,0
136497,"FB4","012","30","04","FLO",0,0
136498,"FB4","012","40","01","FLO",0,0
136499,"FB4","012","40","02","FLO",0,0
136500,"FB4","012","40","03","FLO",0,0
136501,"FB4","012","40","04","FLO",0,0
136502,"FB4","012","50","01","FLO",0,0
136503,"FB4","012","50","02","FLO",0,0
136504,"FB4","012","50","03","FLO",0,0
136505,"FB4","012","50","04","FLO",0,0
24950,"FA1","001","404","404","FLO",60.0,8.0
24951,"FA2","001","404","404","FLO",60.0,8.0
24952,"FA3","001","404","404","FLO",60.0,8.0
24953,"FA4","001","404","404","FLO",60.0,8.0
24954,"FA5","001","404","404","FLO",60.0,8.0
24955,"FA6","001","404","404","FLO",60.0,8.0
24956,"FA7","001","404","404","FLO",60.0,8.0
24957,"FA8","001","404","404","FLO",60.0,8.0
24958,"FA9","001","404","404","FLO",60.0,8.0
128018,"FA10","001","404","404","FLO",60.0,8.0
128019,"FA11","001","404","404","FLO",60.0,8.0
128020,"FA12","001","404","404","FLO",60.0,8.0
128021,"FA13","001","404","404","FLO",60.0,8.0
128022,"FA14","001","404","404","FLO",60.0,8.0
128023,"FA15","001","404","404","FLO",60.0,8.0
128024,"FA16","001","404","404","FLO",60.0,8.0
128025,"FA17","001","404","404","FLO",60.0,8.0
128026,"FA18","001","404","404","FLO",60.0,8.0
128027,"FA19","001","404","404","FLO",60.0,8.0
135650,"FA20","001","404","404","FLO",60.0,8.0
135651,"FA21","001","404","404","FLO",60.0,8.0
135652,"FA22","001","404","404","FLO",60.0,8.0
135653,"FA23","001","404","404","FLO",60.0,8.0
20914,"FB2","001","10","01","FLO",75.0,8.0
20915,"FB2","001","10","02","FLO",75.0,8.0
20918,"FB2","001","20","01","FLO",75.0,8.0
20919,"FB2","001","20","02","FLO",75.0,8.0
20922,"FB2","001","30","01","FLO",75.0,8.0
20923,"FB2","001","30","02","FLO",75.0,8.0
20926,"FB2","001","40","01","FLO",75.0,8.0
20927,"FB2","001","40","02","FLO",75.0,8.0
20930,"FB2","001","50","01","FLO",75.0,8.0
20931,"FB2","001","50","02","FLO",75.0,8.0
20934,"FB2","001","60","01","FLO",75.0,8.0
20935,"FB2","001","60","02","FLO",75.0,8.0
20938,"FB2","001","70","01","FLO",75.0,8.0
20939,"FB2","001","70","02","FLO",75.0,8.0
22190,"FB1","001","10","01","FLO",75.0,8.0
22191,"FB1","001","10","02","FLO",75.0,8.0
22194,"FB1","001","20","01","FLO",75.0,8.0
22195,"FB1","001","20","02","FLO",75.0,8.0
22198,"FB1","001","30","01","FLO",75.0,8.0
22199,"FB1","001","30","02","FLO",75.0,8.0
22202,"FB1","001","40","01","FLO",75.0,8.0
22203,"FB1","001","40","02","FLO",75.0,8.0
22206,"FB1","001","50","01","FLO",75.0,8.0
22207,"FB1","001","50","02","FLO",75.0,8.0
22210,"FB1","001","60","01","FLO",75.0,8.0
22211,"FB1","001","60","02","FLO",75.0,8.0
22214,"FB1","001","70","01","FLO",75.0,8.0
22215,"FB1","001","70","02","FLO",75.0,8.0
20942,"FB2","002","10","01","FLO",78.6,8.0
20943,"FB2","002","10","02","FLO",78.6,8.0
20944,"FB2","002","10","03","FLO",78.6,8.0
20945,"FB2","002","10","04","FLO",78.6,8.0
20946,"FB2","002","20","01","FLO",78.6,8.0
20947,"FB2","002","20","02","FLO",78.6,8.0
20948,"FB2","002","20","03","FLO",78.6,8.0
20949,"FB2","002","20","04","FLO",78.6,8.0
20950,"FB2","002","30","01","FLO",78.6,8.0
20951,"FB2","002","30","02","FLO",78.6,8.0
20952,"FB2","002","30","03","FLO",78.6,8.0
20953,"FB2","002","30","04","FLO",78.6,8.0
20954,"FB2","002","40","01","FLO",78.6,8.0
20955,"FB2","002","40","02","FLO",78.6,8.0
20956,"FB2","002","40","03","FLO",78.6,8.0
20957,"FB2","002","40","04","FLO",78.6,8.0
20958,"FB2","002","50","01","FLO",78.6,8.0
20959,"FB2","002","50","02","FLO",78.6,8.0
20960,"FB2","002","50","03","FLO",78.6,8.0
20961,"FB2","002","50","04","FLO",78.6,8.0
20962,"FB2","002","60","01","FLO",78.6,8.0
20963,"FB2","002","60","02","FLO",78.6,8.0
20964,"FB2","002","60","03","FLO",78.6,8.0
20965,"FB2","002","60","04","FLO",78.6,8.0
20966,"FB2","002","70","01","FLO",78.6,8.0
20967,"FB2","002","70","02","FLO",78.6,8.0
20968,"FB2","002","70","03","FLO",78.6,8.0
20969,"FB2","002","70","04","FLO",78.6,8.0
22218,"FB1","002","10","01","FLO",78.6,8.0
22219,"FB1","002","10","02","FLO",78.6,8.0
22220,"FB1","002","10","03","FLO",78.6,8.0
22221,"FB1","002","10","04","FLO",78.6,8.0
22222,"FB1","002","20","01","FLO",78.6,8.0
22223,"FB1","002","20","02","FLO",78.6,8.0
22224,"FB1","002","20","03","FLO",78.6,8.0
22225,"FB1","002","20","04","FLO",78.6,8.0
22226,"FB1","002","30","01","FLO",78.6,8.0
22227,"FB1","002","30","02","FLO",78.6,8.0
22228,"FB1","002","30","03","FLO",78.6,8.0
22229,"FB1","002","30","04","FLO",78.6,8.0
22230,"FB1","002","40","01","FLO",78.6,8.0
22231,"FB1","002","40","02","FLO",78.6,8.0
22232,"FB1","002","40","03","FLO",78.6,8.0
22233,"FB1","002","40","04","FLO",78.6,8.0
